Key,Id,Japanese(ja),English(en)
"{0}が決戦に勝利しました。",,"{0}が決戦に勝利しました。","{0} won the decisive battle."
"(説明文なし: {0})",,"(説明文なし: {0})","(No description: {0})"
"次のフェイズに進みます。",,"次のフェイズに進みます。","Proceed to the next phase."
"マップをクリックして各国の情報を表示します。",,"マップをクリックして各国の情報を表示します。","Click on the map to display country information."
"システムメニューを表示します。",,"システムメニューを表示します。","Display the system menu."
"隣接国に侵攻します。",,"隣接国に侵攻します。","Invade the neighboring country."
"出撃命令が下りました。",,"出撃命令が下りました。","The sortie order has been issued."
"防衛命令が下りました。",,"防衛命令が下りました。","The defense order has been issued."
"隣接国と決戦を行います。",,"隣接国と決戦を行います。","Decisive battle with the neighboring country."
"{0}が{1}に決戦を仕掛けました。",,"{0}が{1}に決戦を仕掛けました。","{0} challenged {1} to a decisive battle."
"同僚に戦いを仕掛けます。",,"同僚に戦いを仕掛けます。","Challenge your colleague to a fight."
"{0}は勢力を去りました。",,"{0}は勢力を去りました。","{0} left the country."
"他国の将を挑発します。",,"他国の将を挑発します。","Provoke the general of another country."
"挑発に成功しました。",,"挑発に成功しました。","Provocation was successful."
"挑発は失敗しました。",,"挑発は失敗しました。","Provocation failed."
"{0}に挑発されました。",,"{0}に挑発されました。","You were provoked by {0}."
"配下を討伐します。",,"配下を討伐します。","Subdue the vassal."
"討伐成功！\n{0}は追放されました。",,"討伐成功！\n{0}は追放されました。","Subjugation successful!\n{0} has been expelled."
"討伐失敗！{0}はあなたを恨んでいるようです。",,"討伐失敗！{0}はあなたを恨んでいるようです。","Subjugation failed! {0} seems to hate you."
"自勢力から独立します。",,"自勢力から独立します。","Independence from your own country."
"本当に独立しますか？",,"本当に独立しますか？","Do you really want to be independent?"
"独立しました。",,"独立しました。","You are independent."
"{0}が{1}から独立しました。",,"{0}が{1}から独立しました。","{0} has become independent from {1}."
"既存勢力に仕官します。",,"既存勢力に仕官します。","Join an existing country."
"拒否されました。",,"拒否されました。","You were rejected."
"{0}に仕官しました。",,"{0}に仕官しました。","You joined {0}'s country."
"兵士を雇います。",,"兵士を雇います。","Hire soldiers."
"反乱を起こします。",,"反乱を起こします。","Rebel against the country."
"本当に反乱を起こしますか？",,"本当に反乱を起こしますか？","Do you really want to rebel?"
"{0}が{1}に対して反乱を起こしました！",,"{0}が{1}に対して反乱を起こしました！","{0} rebelled against {1}!"
"反乱成功！\n新しい君主になりました。",,"反乱成功！\n新しい君主になりました。","Rebellion successful!\nYou are the new ruler."
"反乱は失敗し、勢力を追放されました。",,"反乱は失敗し、勢力を追放されました。","The rebellion failed and you were expelled from the country."
"勢力を捨てて自由になります。",,"勢力を捨てて自由になります。","Abandon the country and be free."
"勢力を捨てて浪士になります。\nよろしいですか？",,"勢力を捨てて浪士になります。\nよろしいですか？","Do you want to abandon the country and be free?"
"エリアを攻撃して奪取します。",,"エリアを攻撃して奪取します。","Attack and capture the area."
"奪取する地域を選択してください。",,"奪取する地域を選択してください。","Select the area to capture."
"兵士を訓練します。",,"兵士を訓練します。","Train soldiers."
"他勢力と同盟を結びます。",,"他勢力と同盟を結びます。","Form an alliance with another country."
"{0}と同盟を結びました。",,"{0}と同盟を結びました。","You formed an alliance with {0}."
"同盟継続方針を更新します。",,"同盟継続方針を更新します。","Update the alliance continuation policy."
"配下を解雇します。",,"配下を解雇します。","Fire the vassal."
"{0}を追放しました。",,"{0}を追放しました。","You expelled {0}."
"あなたは勢力から追放されました。",,"あなたは勢力から追放されました。","You have been expelled from the country."
"配下を雇います。",,"配下を雇います。","Hire a vassal."
"{0}を配下にしました。",,"{0}を配下にしました。","You hired {0} as a vassal."
"勢力の序列と給料配分を調整します。",,"勢力の序列と給料配分を調整します。","Adjust the ranking and salary of the vassals."
"勢力を捨てて放浪します。",,"勢力を捨てて放浪します。","Abandon the country and be free."
"勢力を捨てて放浪します。\nよろしいですか？",,"勢力を捨てて放浪します。\nよろしいですか？","Do you want to abandon the country and be free?"
"{0}が勢力を捨て、\n{1}が新たな君主となりました。",,"{0}が勢力を捨て、\n{1}が新たな君主となりました。","{0} abandoned the country and {1} became the new ruler."
"皇帝",,"皇帝","Emperor"
"王",,"王","King"
"大公",,"大公","Grand Duke"
"君主",,"君主","Chief"
"副王",,"副王","Viceroy"
"総督",,"総督","Governor"
"宰相",,"宰相","Prime Minister"
"元帥",,"元帥","Marshal"
"将軍",,"将軍","General"
"士長",,"士長","Sergeant"
"従士",,"従士","Squire"
"浪士",,"浪士","Wanderer"
"ゲーム終了！",,"ゲーム終了！","Game over!"
"最終ターン: {0}",,"最終ターン: {0}","Final turn: {0}"
"勝者: {0}",,"勝者: {0}","Winner: {0}"
"あなたの勢力が統一を果たしました！",,"あなたの勢力が統一を果たしました！","Your country has achieved unification!"
"あなたは統一を果たせませんでした...",,"あなたは統一を果たせませんでした...","You failed to achieve unification..."
"あなた: {0}",,"あなた: {0}","You: {0}"
"最終兵力: {0} ({1}位)",,"最終兵力: {0} ({1}位)","Final soldier count: {0} ({1})"
"最終名声: {0} ({1}位)",,"最終名声: {0} ({1}位)","Final prestige: {0} ({1})"
"最終功績: {0} ({1}位)",,"最終功績: {0} ({1}位)","Final contribution: {0} ({1})"
"タイトル画面に戻ります。",,"タイトル画面に戻ります。","Return to the title screen."
"残り勢力数が2になったため、\n同盟が解消されました。",,"残り勢力数が2になったため、\n同盟が解消されました。","The alliance was dissolved because the remaining number of countries became two."
"{0}と{1}の同盟が解消されました。\n(合意による解消)",,"{0}と{1}の同盟が解消されました。\n(合意による解消)","The alliance between {0} and {1} has been dissolved.\n(Dissolved by agreement)"
"{0}と{1}の同盟が解消されました。\n({0}からの破棄)",,"{0}と{1}の同盟が解消されました。\n({0}からの破棄)","The alliance between {0} and {1} has been dissolved.\n(Discarded by {0})"
"操作キャラを選択してください。",,"操作キャラを選択してください。","Select the character to play."
"採用する人物をクリックしてください。",,"採用する人物をクリックしてください。","Click on the person to hire."
"採用しない",,"採用しない","Do not hire"
"追放する人物をクリックしてください。",,"追放する人物をクリックしてください。","Click on the person to expel."
"侵攻を行う人物をクリックしてください。",,"侵攻を行う人物をクリックしてください。","Click on the person in charge of the invasion."
"キャンセル",,"キャンセル","Cancel"
"討伐する人物をクリックしてください。",,"討伐する人物をクリックしてください。","Click on the person to subdue."
"攻撃する人物をクリックしてください。",,"攻撃する人物をクリックしてください。","Click on the person to attack."
"防衛する人物をクリックしてください。",,"防衛する人物をクリックしてください。","Click on the person in charge of defense."
"放棄する",,"放棄する","Abandon"
"挑発する国を選択してください。",,"挑発する国を選択してください。","Select the country to provoke."
"挑発する人物を選択してください。",,"挑発する人物を選択してください。","Select the person to provoke."
"この国には挑発できません。",,"この国には挑発できません。","You cannot provoke this country."
"同盟を結ぶ国を選択してください。",,"同盟を結ぶ国を選択してください。","Select the country to form an alliance with."
"自国です。",,"自国です。","Your own country."
"すでに別の国と同盟を結んでいます。",,"すでに別の国と同盟を結んでいます。","You are already allied with another country."
"この国と同盟を結びますか？",,"この国と同盟を結びますか？","Do you want to form an alliance with this country?"
"決戦を行う国を選択してください。",,"決戦を行う国を選択してください。","Select the country to fight a decisive battle with."
"相手が弱小すぎます。",,"相手が弱小すぎます。","The country is too weak."
"この国とは決戦できません。",,"この国とは決戦できません。","You cannot fight a decisive battle with this country."
"この国と決戦を行いますか？",,"この国と決戦を行いますか？","Do you want to fight a decisive battle with this country?"
"仕官する国を選択してください。",,"仕官する国を選択してください。","Select the country to join."
"この国はこれ以上配下を雇えません。",,"この国はこれ以上配下を雇えません。","This country cannot hire any more vassals."
"この国に仕官しますか？",,"この国に仕官しますか？","Do you want to join this country?"
"侵攻する地域を選択してください。",,"侵攻する地域を選択してください。","Select the area to invade."
"この地域に侵攻しますか？",,"この地域に侵攻しますか？","Do you want to invade this area?"
"この地域には侵攻できません。",,"この地域には侵攻できません。","You cannot invade this area."
"以下の勢力から同盟の申し込みがありました。",,"以下の勢力から同盟の申し込みがありました。","The following country have applied for an alliance."
"受諾",,"受諾","Accept"
"拒否",,"拒否","Reject"
"以下の勢力から仕官の誘いがありました。",,"以下の勢力から仕官の誘いがありました。","The following country has invited you to join."
"なし",,"なし","None"
"大河",,"大河","Great river"
"河川",,"河川","River"
"平地",,"平地","Plain"
"丘陵",,"丘陵","Hill"
"森林",,"森林","Forest"
"山岳",,"山岳","Mountain"
"城砦",,"城砦","Fortress"
"決戦禁止期間です。(残り{0}ターン)",,"決戦禁止期間です。(残り{0}ターン)","It is a period of prohibition of decisive battles. (Remaining {0} turns)"
"軍事フェイズの先頭の国のみ実行可能です。",,"軍事フェイズの先頭の国のみ実行可能です。","Only the first country in the military phase can execute it."
"決戦を仕掛けられる国がありません。",,"決戦を仕掛けられる国がありません。","There is no country that can be challenged to a decisive battle."
"「{0}」でゲームを始めます。\nよろしいですか？",,"「{0}」でゲームを始めます。\nよろしいですか？","Start the game with '{0}'.\nAre you sure?"
"観戦モードでゲームを始めます。\nよろしいですか？",,"観戦モードでゲームを始めます。\nよろしいですか？","Start the game in spectator mode.\nAre you sure?"
"観戦",,"観戦","Spectator"
"観戦（クリア後解放）",,"観戦（クリア後解放）","Spectator (unlocked after clearing)"
" (クリア後解放)",," (クリア後解放)"," (unlocked after clearing)"
"マップのセルをクリックしてください。",,"マップのセルをクリックしてください。","Click on a cell on the map."
"一覧表から操作するキャラをクリックしてください。",,"一覧表から操作するキャラをクリックしてください。","Click on the character to play from the list."
"継続",,"継続","Continue"
"解消",,"解消","Dissolve"
"攻撃側の勝利",,"攻撃側の勝利","Attackers win"
"防衛側の勝利",,"防衛側の勝利","Defenders win"
"セーブしました。",,"セーブしました。","Saved."
"セーブに失敗しました。\n({0})",,"セーブに失敗しました。\n({0})","Failed to save.\n({0})"
"操作キャラを変更します。\nよろしいですか？",,"操作キャラを変更します。\nよろしいですか？","Change the character you control.\nAre you sure?"
"タイトル画面に戻ります。\nよろしいですか？",,"タイトル画面に戻ります。\nよろしいですか？","Return to the title screen.\nAre you sure?"
"ターン終了までお待ちください...",,"ターン終了までお待ちください...","Please wait until the end of the turn..."
"操作キャラ変更",,"操作キャラ変更","Change character"